Wed Oct 28 02:19:41 2020 Epoch 0, lr: 0.0001000, val loss: 149.25757, acc: 45.81000
Wed Oct 28 02:44:52 2020 Epoch 22, lr: 0.0001000, val loss: 71.65324, acc: 75.47000
Wed Oct 28 02:46:01 2020 Epoch 23, lr: 0.0001000, val loss: 69.89486, acc: 76.17000
Wed Oct 28 02:47:09 2020 Epoch 24, lr: 0.0001000, val loss: 71.35829, acc: 75.00000
Wed Oct 28 02:48:18 2020 Epoch 25, lr: 0.0001000, val loss: 70.00906, acc: 76.46000
Wed Oct 28 02:49:27 2020 Epoch 26, lr: 0.0001000, val loss: 68.82054, acc: 76.74000
Wed Oct 28 02:50:36 2020 Epoch 27, lr: 0.0001000, val loss: 67.50249, acc: 77.24000
Wed Oct 28 02:51:44 2020 Epoch 28, lr: 0.0001000, val loss: 67.71045, acc: 77.08000
Wed Oct 28 02:52:53 2020 Epoch 29, lr: 0.0001000, val loss: 68.44057, acc: 76.84000
Wed Oct 28 02:54:01 2020 Epoch 30, lr: 0.0001000, val loss: 67.50337, acc: 77.33000
Wed Oct 28 02:55:10 2020 Epoch 31, lr: 0.0001000, val loss: 67.98517, acc: 77.42000
Wed Oct 28 02:56:18 2020 Epoch 32, lr: 0.0001000, val loss: 67.19535, acc: 77.34000
Wed Oct 28 02:57:27 2020 Epoch 33, lr: 0.0001000, val loss: 67.21230, acc: 78.01000
Wed Oct 28 02:58:36 2020 Epoch 34, lr: 0.0001000, val loss: 69.19893, acc: 77.84000
Wed Oct 28 02:59:44 2020 Epoch 35, lr: 0.0001000, val loss: 64.88638, acc: 78.87000
Wed Oct 28 03:00:53 2020 Epoch 36, lr: 0.0001000, val loss: 66.69895, acc: 78.46000
Wed Oct 28 03:02:02 2020 Epoch 37, lr: 0.0001000, val loss: 66.10147, acc: 78.60000
Wed Oct 28 03:03:10 2020 Epoch 38, lr: 0.0001000, val loss: 64.60483, acc: 79.13000
Wed Oct 28 03:04:18 2020 Epoch 39, lr: 0.0001000, val loss: 68.31437, acc: 78.62000
Wed Oct 28 03:05:27 2020 Epoch 40, lr: 0.0001000, val loss: 64.75209, acc: 79.57000
Wed Oct 28 03:06:36 2020 Epoch 41, lr: 0.0001000, val loss: 64.46018, acc: 79.63000
Wed Oct 28 03:07:44 2020 Epoch 42, lr: 0.0001000, val loss: 67.03657, acc: 78.78000
Wed Oct 28 03:08:53 2020 Epoch 43, lr: 0.0001000, val loss: 67.35336, acc: 79.11000
Wed Oct 28 03:10:02 2020 Epoch 44, lr: 0.0001000, val loss: 67.63423, acc: 79.02000
Wed Oct 28 03:11:10 2020 Epoch 45, lr: 0.0001000, val loss: 67.07969, acc: 79.66000
Wed Oct 28 03:12:19 2020 Epoch 46, lr: 0.0000100, val loss: 69.18692, acc: 79.11000
Wed Oct 28 03:13:28 2020 Epoch 47, lr: 0.0000100, val loss: 64.23234, acc: 80.77000
Wed Oct 28 03:14:36 2020 Epoch 48, lr: 0.0000100, val loss: 64.81049, acc: 80.81000
Wed Oct 28 03:15:44 2020 Epoch 49, lr: 0.0000100, val loss: 65.04099, acc: 80.91000
Wed Oct 28 03:52:28 2020 Epoch 0, lr: 0.0001000, val loss: 145.21277, acc: 48.18000
Wed Oct 28 03:53:37 2020 Epoch 1, lr: 0.0001000, val loss: 130.14710, acc: 53.22000
Wed Oct 28 03:54:45 2020 Epoch 2, lr: 0.0001000, val loss: 119.99731, acc: 57.05000
Wed Oct 28 03:55:53 2020 Epoch 3, lr: 0.0001000, val loss: 113.94354, acc: 59.23000
Wed Oct 28 03:57:02 2020 Epoch 4, lr: 0.0001000, val loss: 106.74878, acc: 61.69000
Wed Oct 28 03:58:10 2020 Epoch 5, lr: 0.0001000, val loss: 104.91728, acc: 62.95000
Wed Oct 28 03:59:18 2020 Epoch 6, lr: 0.0001000, val loss: 98.78972, acc: 64.83000
Wed Oct 28 04:00:27 2020 Epoch 7, lr: 0.0001000, val loss: 96.17003, acc: 65.46000
Wed Oct 28 04:01:35 2020 Epoch 8, lr: 0.0001000, val loss: 94.82091, acc: 66.54000
Wed Oct 28 04:02:43 2020 Epoch 9, lr: 0.0001000, val loss: 96.35869, acc: 66.62000
Wed Oct 28 04:03:52 2020 Epoch 10, lr: 0.0001000, val loss: 90.63397, acc: 67.32000
Wed Oct 28 04:05:01 2020 Epoch 11, lr: 0.0001000, val loss: 86.54807, acc: 69.44000
Wed Oct 28 04:06:09 2020 Epoch 12, lr: 0.0001000, val loss: 83.59144, acc: 70.03000
Wed Oct 28 04:07:17 2020 Epoch 13, lr: 0.0001000, val loss: 84.07160, acc: 70.15000
Wed Oct 28 04:08:26 2020 Epoch 14, lr: 0.0001000, val loss: 82.46807, acc: 70.91000
Wed Oct 28 04:09:35 2020 Epoch 15, lr: 0.0001000, val loss: 79.90046, acc: 72.24000
Wed Oct 28 04:10:43 2020 Epoch 16, lr: 0.0001000, val loss: 79.96951, acc: 72.31000
Wed Oct 28 04:11:51 2020 Epoch 17, lr: 0.0001000, val loss: 78.79997, acc: 72.31000
Wed Oct 28 04:13:00 2020 Epoch 18, lr: 0.0001000, val loss: 78.89132, acc: 72.27000
Wed Oct 28 04:14:08 2020 Epoch 19, lr: 0.0001000, val loss: 74.17493, acc: 74.16000
Wed Oct 28 04:15:17 2020 Epoch 20, lr: 0.0001000, val loss: 73.21486, acc: 74.63000
Wed Oct 28 04:16:25 2020 Epoch 21, lr: 0.0001000, val loss: 73.42624, acc: 74.36000
Wed Oct 28 04:17:34 2020 Epoch 22, lr: 0.0001000, val loss: 73.11926, acc: 74.80000
Sat Jun 19 02:07:20 2021 Epoch 0, lr: 0.0001000, val loss: 148.36173, acc: 46.78000
Sat Jun 19 02:08:49 2021 Epoch 1, lr: 0.0001000, val loss: 132.09522, acc: 52.58000
Sat Jun 19 02:10:16 2021 Epoch 2, lr: 0.0001000, val loss: 120.47667, acc: 56.12000
Sat Jun 19 02:11:44 2021 Epoch 3, lr: 0.0001000, val loss: 117.07606, acc: 58.34000
Sat Jun 19 02:13:12 2021 Epoch 4, lr: 0.0001000, val loss: 111.53398, acc: 60.74000
Sat Jun 19 02:14:39 2021 Epoch 5, lr: 0.0001000, val loss: 104.47195, acc: 62.74000
Sat Jun 19 02:16:07 2021 Epoch 6, lr: 0.0001000, val loss: 99.64939, acc: 64.62000
Sat Jun 19 02:17:35 2021 Epoch 7, lr: 0.0001000, val loss: 99.55306, acc: 64.29000
Sat Jun 19 02:19:03 2021 Epoch 8, lr: 0.0001000, val loss: 95.18809, acc: 66.50000
Sat Jun 19 02:20:32 2021 Epoch 9, lr: 0.0001000, val loss: 91.65893, acc: 67.46000
Sat Jun 19 02:22:00 2021 Epoch 10, lr: 0.0001000, val loss: 94.57189, acc: 66.36000
Sat Jun 19 02:23:28 2021 Epoch 11, lr: 0.0001000, val loss: 88.61548, acc: 68.84000
Sat Jun 19 02:24:56 2021 Epoch 12, lr: 0.0001000, val loss: 87.96102, acc: 69.18000
Sat Jun 19 02:26:23 2021 Epoch 13, lr: 0.0001000, val loss: 86.55143, acc: 69.62000
Sat Jun 19 02:27:52 2021 Epoch 14, lr: 0.0001000, val loss: 81.46126, acc: 71.41000
Sat Jun 19 02:29:20 2021 Epoch 15, lr: 0.0001000, val loss: 80.87122, acc: 71.78000
Sat Jun 19 02:30:49 2021 Epoch 16, lr: 0.0001000, val loss: 78.21233, acc: 72.78000
Sat Jun 19 02:32:16 2021 Epoch 17, lr: 0.0001000, val loss: 76.43291, acc: 72.75000
Sat Jun 19 02:33:45 2021 Epoch 18, lr: 0.0001000, val loss: 75.29875, acc: 73.88000
Sat Jun 19 02:35:13 2021 Epoch 19, lr: 0.0001000, val loss: 77.48073, acc: 72.71000
Sat Jun 19 02:36:41 2021 Epoch 20, lr: 0.0001000, val loss: 76.43496, acc: 73.57000
Sat Jun 19 02:38:09 2021 Epoch 21, lr: 0.0001000, val loss: 74.47106, acc: 73.68000
Sat Jun 19 02:39:37 2021 Epoch 22, lr: 0.0001000, val loss: 72.14565, acc: 75.09000
Sat Jun 19 02:41:05 2021 Epoch 23, lr: 0.0001000, val loss: 74.14447, acc: 74.18000
Sat Jun 19 02:42:33 2021 Epoch 24, lr: 0.0001000, val loss: 69.38704, acc: 75.62000
Sat Jun 19 02:44:02 2021 Epoch 25, lr: 0.0001000, val loss: 70.22855, acc: 76.40000
Sat Jun 19 02:45:31 2021 Epoch 26, lr: 0.0001000, val loss: 68.23705, acc: 76.52000
Sat Jun 19 02:46:59 2021 Epoch 27, lr: 0.0001000, val loss: 70.97785, acc: 75.91000
Sat Jun 19 02:48:28 2021 Epoch 28, lr: 0.0001000, val loss: 67.35965, acc: 77.05000
Sat Jun 19 02:49:56 2021 Epoch 29, lr: 0.0001000, val loss: 70.03926, acc: 76.54000
Sat Jun 19 02:51:25 2021 Epoch 30, lr: 0.0001000, val loss: 68.52547, acc: 77.11000
Sat Jun 19 02:52:53 2021 Epoch 31, lr: 0.0001000, val loss: 66.86695, acc: 77.59000
Sat Jun 19 02:54:20 2021 Epoch 32, lr: 0.0001000, val loss: 68.40599, acc: 77.53000
Sat Jun 19 02:55:49 2021 Epoch 33, lr: 0.0001000, val loss: 67.66636, acc: 77.73000
Sat Jun 19 02:57:17 2021 Epoch 34, lr: 0.0001000, val loss: 68.18312, acc: 77.58000
Sat Jun 19 02:58:45 2021 Epoch 35, lr: 0.0001000, val loss: 63.90588, acc: 78.69000
Sat Jun 19 03:00:13 2021 Epoch 36, lr: 0.0001000, val loss: 64.06287, acc: 78.47000
Sat Jun 19 03:01:41 2021 Epoch 37, lr: 0.0001000, val loss: 67.22386, acc: 78.43000
Sat Jun 19 03:03:09 2021 Epoch 38, lr: 0.0001000, val loss: 65.99732, acc: 78.18000
Sat Jun 19 03:04:37 2021 Epoch 39, lr: 0.0000100, val loss: 65.07793, acc: 78.92000
Sat Jun 19 03:06:05 2021 Epoch 40, lr: 0.0000100, val loss: 63.17106, acc: 80.02000
Sat Jun 19 03:07:32 2021 Epoch 41, lr: 0.0000100, val loss: 63.54407, acc: 80.19000
Sat Jun 19 03:09:00 2021 Epoch 42, lr: 0.0000100, val loss: 63.57441, acc: 80.22000
Sat Jun 19 03:10:29 2021 Epoch 43, lr: 0.0000100, val loss: 63.53066, acc: 80.56000
Sat Jun 19 03:11:57 2021 Epoch 44, lr: 0.0000010, val loss: 64.24821, acc: 80.39000
Sat Jun 19 03:13:25 2021 Epoch 45, lr: 0.0000010, val loss: 63.38488, acc: 80.46000
Sat Jun 19 03:14:53 2021 Epoch 46, lr: 0.0000010, val loss: 63.28721, acc: 80.55000
Sat Jun 19 03:16:21 2021 Epoch 47, lr: 0.0000010, val loss: 63.51363, acc: 80.52000
Sat Jun 19 03:17:49 2021 Epoch 48, lr: 0.0000001, val loss: 63.42132, acc: 80.63000
Sat Jun 19 03:19:18 2021 Epoch 49, lr: 0.0000001, val loss: 63.45519, acc: 80.65000
Sat Jun 19 03:20:46 2021 Epoch 50, lr: 0.0000001, val loss: 63.46841, acc: 80.64000
Sat Jun 19 03:22:13 2021 Epoch 51, lr: 0.0000001, val loss: 63.46684, acc: 80.65000
Sat Jun 19 03:23:42 2021 Epoch 52, lr: 0.0000000, val loss: 63.46862, acc: 80.66000
Sat Jun 19 03:25:10 2021 Epoch 53, lr: 0.0000000, val loss: 63.46913, acc: 80.66000
Sat Jun 19 03:26:39 2021 Epoch 54, lr: 0.0000000, val loss: 63.46971, acc: 80.66000
Sat Jun 19 03:28:06 2021 Epoch 55, lr: 0.0000000, val loss: 63.46902, acc: 80.66000
Sat Jun 19 03:29:33 2021 Epoch 56, lr: 0.0000000, val loss: 63.46962, acc: 80.66000
Sat Jun 19 03:31:01 2021 Epoch 57, lr: 0.0000000, val loss: 63.46813, acc: 80.67000
Sat Jun 19 03:32:30 2021 Epoch 58, lr: 0.0000000, val loss: 63.47169, acc: 80.67000
Sat Jun 19 03:33:58 2021 Epoch 59, lr: 0.0000000, val loss: 63.47330, acc: 80.67000
Sat Jun 19 03:35:26 2021 Epoch 60, lr: 0.0000000, val loss: 63.47409, acc: 80.67000
Sat Jun 19 03:36:53 2021 Epoch 61, lr: 0.0000000, val loss: 63.47795, acc: 80.67000
Sat Jun 19 03:38:22 2021 Epoch 62, lr: 0.0000000, val loss: 63.47905, acc: 80.67000
Sat Jun 19 03:39:49 2021 Epoch 63, lr: 0.0000000, val loss: 63.48027, acc: 80.67000
Sat Jun 19 03:41:17 2021 Epoch 64, lr: 0.0000000, val loss: 63.48310, acc: 80.67000
Sat Jun 19 03:42:45 2021 Epoch 65, lr: 0.0000000, val loss: 63.48539, acc: 80.67000
Sat Jun 19 03:44:12 2021 Epoch 66, lr: 0.0000000, val loss: 63.48600, acc: 80.67000
Sat Jun 19 03:45:40 2021 Epoch 67, lr: 0.0000000, val loss: 63.48481, acc: 80.67000
Sat Jun 19 03:47:08 2021 Epoch 68, lr: 0.0000000, val loss: 63.48408, acc: 80.67000
Sat Jun 19 03:48:37 2021 Epoch 69, lr: 0.0000000, val loss: 63.48561, acc: 80.66000
Sat Jun 19 03:50:04 2021 Epoch 70, lr: 0.0000000, val loss: 63.48868, acc: 80.66000
Sat Jun 19 03:51:32 2021 Epoch 71, lr: 0.0000000, val loss: 63.48884, acc: 80.66000
Sat Jun 19 03:53:00 2021 Epoch 72, lr: 0.0000000, val loss: 63.49000, acc: 80.66000
Sat Jun 19 03:54:29 2021 Epoch 73, lr: 0.0000000, val loss: 63.48874, acc: 80.66000
Sat Jun 19 03:55:57 2021 Epoch 74, lr: 0.0000000, val loss: 63.48977, acc: 80.66000
Sat Jun 19 03:57:25 2021 Epoch 75, lr: 0.0000000, val loss: 63.49010, acc: 80.66000
Sat Jun 19 03:58:53 2021 Epoch 76, lr: 0.0000000, val loss: 63.49307, acc: 80.66000
Sat Jun 19 04:00:21 2021 Epoch 77, lr: 0.0000000, val loss: 63.49462, acc: 80.66000
Sat Jun 19 04:01:50 2021 Epoch 78, lr: 0.0000000, val loss: 63.49271, acc: 80.66000
Sat Jun 19 04:03:18 2021 Epoch 79, lr: 0.0000000, val loss: 63.49295, acc: 80.67000
Sat Jun 19 04:04:46 2021 Epoch 80, lr: 0.0000000, val loss: 63.49846, acc: 80.67000
Sat Jun 19 04:06:14 2021 Epoch 81, lr: 0.0000000, val loss: 63.49842, acc: 80.67000
Sat Jun 19 04:07:41 2021 Epoch 82, lr: 0.0000000, val loss: 63.49916, acc: 80.67000
Sat Jun 19 04:09:10 2021 Epoch 83, lr: 0.0000000, val loss: 63.49904, acc: 80.66000
Sat Jun 19 04:10:38 2021 Epoch 84, lr: 0.0000000, val loss: 63.50185, acc: 80.66000
Sat Jun 19 04:12:07 2021 Epoch 85, lr: 0.0000000, val loss: 63.50343, acc: 80.66000
Sat Jun 19 04:13:35 2021 Epoch 86, lr: 0.0000000, val loss: 63.50486, acc: 80.65000
Sat Jun 19 04:15:04 2021 Epoch 87, lr: 0.0000000, val loss: 63.50797, acc: 80.66000
Sat Jun 19 04:16:32 2021 Epoch 88, lr: 0.0000000, val loss: 63.50951, acc: 80.65000
Sat Jun 19 04:18:01 2021 Epoch 89, lr: 0.0000000, val loss: 63.50785, acc: 80.66000
Sat Jun 19 04:19:29 2021 Epoch 90, lr: 0.0000000, val loss: 63.50870, acc: 80.65000
Sat Jun 19 04:20:57 2021 Epoch 91, lr: 0.0000000, val loss: 63.51021, acc: 80.65000
Sat Jun 19 04:22:25 2021 Epoch 92, lr: 0.0000000, val loss: 63.50876, acc: 80.65000
Sat Jun 19 04:23:54 2021 Epoch 93, lr: 0.0000000, val loss: 63.51132, acc: 80.64000
Sat Jun 19 04:25:22 2021 Epoch 94, lr: 0.0000000, val loss: 63.51299, acc: 80.64000
Sat Jun 19 04:26:50 2021 Epoch 95, lr: 0.0000000, val loss: 63.51700, acc: 80.64000
Sat Jun 19 04:28:19 2021 Epoch 96, lr: 0.0000000, val loss: 63.51679, acc: 80.63000
Sat Jun 19 04:29:47 2021 Epoch 97, lr: 0.0000000, val loss: 63.51952, acc: 80.63000
Sat Jun 19 04:31:15 2021 Epoch 98, lr: 0.0000000, val loss: 63.52145, acc: 80.63000
Sat Jun 19 04:32:43 2021 Epoch 99, lr: 0.0000000, val loss: 63.52556, acc: 80.63000
Sat Jun 19 08:26:09 2021 Epoch 0, lr: 0.0001000, val loss: 138.17883, acc: 50.20000
